subject,speed,torque_scale,n_total_cycles_at_speed,n_selected_cycles,selected_cycle_ids,leg,rms_torque_Nm,peak_torque_range_Nm,angle_range_deg,peak_angle_deg,velocity_range_deg_s,peak_velocity_deg_s,mean_positive_power_W,mean_negative_power_W,positive_power_ratio
Barber,075ms,0.9,37,10,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",left,3.7084531867743267,11.531637,44.53088999999999,6.32221,472.02749999993466,293.69199999997295,4.114009956464605,-0.06020175909814226,0.9855493883028343
Barber,075ms,0.9,37,10,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",right,3.3334171030564677,10.091106,45.29004,4.265009999999999,545.4919039626341,302.0089039626223,0.03392746337021833,-3.800153933977876,0.009028674932530917
Barber,075ms,0.9,37,10,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",avg,3.520935144915397,10.8113715,44.910464999999995,5.293609999999999,508.75970198128437,297.8504519812976,2.0739687099174113,-1.930177846538009,0.4972890316176826
Barber,125ms,0.9,46,10,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",left,5.578985484133701,16.29657,49.297839999999994,2.7928400000000004,612.7070000000613,378.58800000002645,7.736569374218504,-0.22232776417967895,0.9717742966095256
Barber,125ms,0.9,46,10,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",right,5.970506281817494,16.858034999999997,54.197770000000006,5.792669999999999,765.307000000136,470.7090000001821,0.404055309117027,-9.002690212489831,0.04318961400637232
Barber,125ms,0.9,46,10,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",avg,5.774745882975598,16.5773025,51.747805,4.292755,689.0070000000986,424.64850000010426,4.070312341667766,-4.612508988334755,0.5074819553079489
Barber,175msw,0.9,49,10,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",left,6.249686678340639,18.252513,52.336670000000005,14.469670000000002,563.1039999998895,343.73500000026195,9.143432935775948,-0.33370628421942966,0.9647063418367683
Barber,175msw,0.9,49,10,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",right,7.829668959747447,22.490028000000002,58.883410000000005,21.34654,752.9214999999739,486.11849999987027,0.7931665575874132,-12.955168181041406,0.05796818535491847
Barber,175msw,0.9,49,10,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",avg,7.0396778190440426,20.3712705,55.610040000000005,17.908105000000003,658.0127499999317,414.92675000006614,4.968299746681681,-6.644437232630418,0.5113372635958434
Barber,175msr,0.9,80,10,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",left,5.086588944551748,15.329556000000002,41.69916,0.9268199999999999,614.1900000002325,348.6775000001423,6.670968265056613,-0.5137617228491872,0.9297670062206874
Barber,175msr,0.9,80,10,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",right,6.410167876827705,18.227817,48.353030000000004,7.647150000000001,759.7050000001997,472.30250000008334,0.6618945234068871,-10.034784937691025,0.062302832570646595
Barber,175msr,0.9,80,10,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",avg,5.748378410689726,16.778686500000003,45.026095,4.2869850000000005,686.9475000002161,410.4900000001128,3.66643139423175,-5.274273330270106,0.496034919395667
Barber,2msr,0.7,77,10,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",left,4.513597887713371,13.447063,39.56615,3.25481,537.8360000002057,304.0185000001352,6.04460688496595,-0.5630135572991928,0.9144157458453938
Barber,2msr,0.7,77,10,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",right,3.611998627427988,10.893455999999999,43.21968,2.74616,659.3165000002956,381.17100000034714,0.5624165648699875,-4.952785566050562,0.10415750915674435
Barber,2msr,0.7,77,10,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",avg,4.062798257570679,12.1702595,41.392915,3.0004850000000003,598.5762500002506,342.59475000024116,3.3035117249179686,-2.7578995616748774,0.509286627501069
Barber,35msr,0.63,108,10,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",left,7.718272333109786,21.7183743,51.68572,11.89658,835.1519999995671,449.97249999980784,15.62973252652977,-1.0949174410548572,0.9337408525939516
Barber,35msr,0.63,108,10,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",right,4.921084995825035,13.813310699999999,58.9356,6.13146,1000.3045000009109,569.6680000005181,0.5061352308736358,-11.26041235295926,0.043524583468219843
Barber,35msr,0.63,108,10,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",avg,6.319678664467411,17.765842499999998,55.31066,9.01402,917.7282500002391,509.82025000016296,8.067933878701703,-6.177664897007059,0.4886327180310857
